#---
#
# SPDX-FileCopyrightText: Copyright © <2022> Idiap Research Institute <contact@idiap.ch>
#
# SPDX-FileContributor: Saeed Sarfjoo <saeed.sarfjoo@idiap.ch>
#
# SPDX-License-Identifier: MIT-License 

# Words in alphabetical order to normalize ATC data. Used for data preparation
# Structure of the normalization is: "from;to;"

0; zero;
1014;one zero one four;
10;ten;
1; one;
2; two;
3; three;
4; four;
5; five;
6; six;
7; seven;
8; eight;
9; nine;
á;a;
abg;ABG;
abrug;abruk;
að;ad;
adsb;ADSB;
adviced;advised;
aeh;[unk];
aero_flot;aero flot;
aeroflot;aero flot;
Aero_flot;aero flot;
aero_jbr;aero JBR;
aero-w;aero W;
afernoon;afternoon;
afis;AFIS;
afsakið;afsakid;
AGEDA;ageda;
ahm;[unk];
ähm;[unk];
aehm;[unk];
aigle_azur;aigle azur;
airalgerie;air algerie;
air_baltic;air baltic;
airbaltic;air baltic;
air baltik;air baltic;
air_berlin;air berlin;
airberlin;air berlin;
Air_Berlin;air berlin;
air_berlinsix;air berlin six;
airbridge cargo;air bridge cargo;
air b-v-i;air BVI;
air_canada;air canada;
air_china;air china;
airchina;air china;
air_courier;air courier;
airforce;air force;
air_france;air france;
airfrance;air france;
Air_france;air france;
Air_France;air france;
air frans;air france;
air_frans;air france;
airfrans;air france;
air_hamburg;air hamburg;
air_hop;air hop;
airhop;air hop;
airindia;air india;
air l-a;air LA;
air_malta;air malta;
airmalta;air malta;
air_manas;air mamas;
air_north;air north;
air_nostrum;air nostrum;
air_portugal;air portugal;
airportugal;air portugal;
air_saigon;air saigon;
air serbia;air serbia;
air_serbia;air serbia;
airserbia;air serbia;
Air_serbia;air serbia;
Airserbia;air serbia;
airside;air side;
air_silesia;air silesia;
airsilesia;air silesia;
air_ukraine;air ukraine;
air v-h;air VH;
air_via;air via;
air_yakutia;air yakutia;
allready;already;
alpha;alfa;
apporach;approach;
appraoch;approach;
approch;approach;
approximatley;approximately;
apreciate;appreciate;
apreciated;appreciated;
aproach;approach;
aproved;approved;
aproximately;approximately;
aproximatly;approximately;
arabia_maroc;arabia maroc;
arcus_air;arcus air;
arcusair;arcus air;
asigned;assigned;
asistance;assistance;
astistance;assistance;
asustrian;austrian;
austrain;austrian;
austrian_airlines;austrian airlines;
austrianairlines;austrian airlines;
b-air;B air;
b_air;B air;
bair;B air;
BARMEN;barmen;
bartock;bartok;
bartox;bartok;
baseleg;base leg;
Base leg;base leg;
Baseleg;base leg;
baseturn;base turn;
beacause;because;
bee_line;bee line;
beeline;bee line;
bel_air;bel air;
belair;bel air;
belavia;bel avia;
belleair_europe;bel air europe;
Berlin;berlin;
big a;big A;
BIKMU;bikmu;
bíldó;bildo;
bimku;bikmu;
binair;bin air;
blondos;blonduos;
bluecargo;blue cargo;
blue_messenger;blue messenger;
bluemessenger;blue messenger;
bmw-flight;BMW flight;
BOTTROP;bottrop;
broadsword;broad sword;
bulgarian_charter;bulgarian charter;
byebye;bye bye;
care_flight;care flight;
cargojet;cargo jet;
cargolux;cargo lux;
carib-x;carib X;
carpat_air;carpat air;
carpatair;carpat air;
carpatia;carpat air;
Carpatia;carpat air;
catagory;category;
cathegory;category;
centralwings;central wings;
cgi_rusair;CGI rus air;
cgi-rusair;CGI rus air;
chargrove;chalgrove;
charley;charlie;
charlia;charlie;
charly;charlie;
cherio;cheerio;
china_southern;china southern;
chinasouthern;china southern;
ci-tours;CI tours;
cleaed;cleared;
cleard;cleared;
cleareance;clearance;
clearence;clearance;
climbinb;climbing;
climbinging;climbing;
comversion;conversion;
condor_air;condor air;
conection;connection;
contakt;contact;
contat;contact;
contine;continue;
continou;continue;
continous;continuous;
contitions;conditions;
convertion;conversion;
convinience;convenience;
coppied;copied;
correcct;correct;
cpdlc;CPDLC;
c_r_j;CRJ;
c_s_a;CSA;
csa;CSA;
csa-line;CSA line;
csa lines;CSA lines;
csa-lines;CSA lines;
czech airforce;czech air force;
czech_air_force;czech air force;
czech_holidays;czech holidays;
dankeschoen;danke schoen;
dankschoen;danke schoen;
dark_blue;dark blue;
datalink;data link;
decend;descend;
decial;decimal;
deciaml;decimal;
decimel;decimal;
decsend;descend;
degres;degrees;
Delta;delta;
descend rate;descent rate;
descent altitude;descend altitude;
descent direct;descend direct;
descent flight;descend flight;
descent level;descend level;
descent to;descend to;
desend;descend;
dessimal;decimal;
dewpoint;dew point;
dgo jet;DGO jet;
dinasty;dynasty;
Dinasty;dynasty;
dircetor;director;
discrusion;discretion;
disctance;distance;
dme;DME;
domax;domux;
DOMUX;domux;
dont;don't;
doswidanje;doswidanja;
double-a;double A;
doumx;domux;
dreamteam;dream team;
dusseldorf;duesseldorf;
eagean;aegean;
east_pac;east pac;
easy_jet;easy jet;
easyjet;easy jet;
eazy;easy;
ecko;echo;
éclair;eclair;
egyptair;egypt air;
egytair;egypt air;
eh;[unk];
eightthousand;eight thousand;
eigth;eight;
eigthy;eighty;
eithad;etihad;
eithiad;etihad;
ejecutivis rcg;ejecutivis RCG;
el_al;el al;
elal;el al;
elit_avia;elit avia;
elitavia;elit avia;
e-med;E med;
Emirates;emirates;
enter_air;enter air;
enterair;enter air;
equiped;equipped;
esatblished;established;
ethiad;etihad;
ethihad;etihad;
