	AAA		ansett	
	AAB		a_b_g	
	AAC		armyair	
	AAD		panabear	
	AAE		arizona	
	AAF		aigle azur	
	AAG		atlantic	
	AAH		aloha	
	AAI		borealis	
	AAJ		alfa sudan	
	AAK		alaska island	
	AAL		american	
	AAM		aim air	
	AAN		amstel	
	AAO		aerointer	
	AAP		arabasco	
	AAQ		asia atlantic	
	AAR		asiana	
	AAS		al-ass	
	AAT		austrian charter	
	AAU		austasia	
	AAV		astro-phil	
	AAW		afriqiyah	
	AAX		advance aviation	
	AAY		allegiant	
	AAZ		aeolus	
	ABA		aerobeta	
	ABB		air belgium	
	ABD		atlanta	
	ABE		aban	
	ABF		skywings	
	ABG		royal flight	
	ABH		air balear	
	ABI		airalabacete	
	ABK		alberta citylink	
	ABL		air busan	
	ABM		albatros espana	
	ABO		aeroexpreso	
	ABP		bair	
	ABQ		pakblue	
	ABR		contract	
	ABS		athabaska	
	ABT		benways	
	ABU		aerobueno	
	ABV		antrak	
	ABW		airbridge cargo	
	ABX		abex	
	ABY		arabia	
	ABZ		island lifeflight	
	ACA		air canada	
	ACB		airconti	
	ACC		aerocharter	
	ACD		academy	
	ACE		fastcargo	
	ACF		forcan	
	ACG		air london	
	ACH		air-charter	
	ACI		air calin	
	ACJ		sinojet	
	ACK		ack air	
	ACL		admire	
	ACM		west cal	
	ACN		aerocentro	
	ACO		aero comondu	
	ACP		astral cargo	
	ACQ		aero continente	
	ACR		aerocenter	
	ACS		aircraft sales	
	ACT		american check	
	ACU		afrispirit	
	ACV		carnair	
	ACW		seracro	
	ACX		parair	
	ACY		atlas cargolines	
	ADA		auscal	
	ADB		antonov bureau	
	ADC		ad astra	
	ADD		adastra	
	ADE		ada air	
	ADF		ade aviacion	
	ADG		aerea training	
	ADH		heron	
	ADI		audeli	
	ADJ		abicar	
	ADK		adco	
	ADL		cotswold	
	ADM		dominair	
	ADN		aerodienst	
	ADO		air do	
	ADP		aerodiplomatic	
	ADQ		air data	
	ADR		adria	
	ADS		sonorav	
	ADT		arrenda-trans	
	ADU		airdeal	
	ADV		advanced	
	ADW		air andaman	
	ADX		andax	
	ADY		aerodyne	
	ADZ		migrator	
	AEA		europa	
	AEB		aeroben	
	AEC		aerocesar	
	AED		aie experience	
	AEE		aegean	
	AEF		aero lloyd	
	AEG		airest cargo	
	AEH		aerocutter	
	AEI		interam	
	AEJ		aerojet	
	AEK		acorisa	
	AEL		rhombus	
	AEM		aeromadrid	
	AEN		enterprise	
	AEO		aero occidente	
	AEP		aerotec	
	AEQ		lunia	
	AER		ace air	
	AES		aeroparaguay	
	AET		aerothai	
	AEU		flystar	
	AEV		aeroventas	
	AEW		aerosvit	
	AEX		avco	
	AEY		air italy	
	AEZ		aerial tranz	
	AFA		blue alfa	
	AFB		american falcon	
	AFC		african west	
	AFD		airfed	
	AFE		airfast	
	AFF		benin-charters	
	AFG		ariana	
	AFH		air afghanistan	
	AFI		alpha juliett	
	AFJ		jambo	
	AFK		africa links	
	AFL		aeroflot	
	AFM		air afghanistan	
	AFN		hekla	
	AFO		aero empresa	
	AFP		portuguese air force	
	AFQ		alba	
	AFR		airfrans	
	AFS		annie	
	AFU		aviofun	
	AFV		arfique vacance	
	AFW		blackstar	
	AFX		skypac	
	AFY		africa chartered	
	AFZ		afreight	
	AGA		geoline	
	AGC		agrico	
	AGD		agderfly	
	AGE		sky runners	
	AGF		air georgia	
	AGG		air grischa	
	AGH		altagna	
	AGI		angeles america	
	AGJ		air greece	
	AGK		tag ukraine	
	AGL		galaxy cargo	
	AGM		angel med	
	AGN		golf november	
	AGO		angola charter	
	AGP		air tara	
	AGQ		galaservice	
	AGR		agriculture	
	AGS		atas	
	AGT		amadeus	
	AGU		sarma	
	AGV		air glaciers	
	AGW		agronaut	
	AGX		genex	
	AGY		egyptian bird	
	AGZ		agrolet	
	AHA		air alpha	
	AHB		alhambra	
	AHC		azalaviacargo	
	AHD		airhandling	
	AHE		airport helicopter	
	AHF		aspen	
	AHG		aerochago	
	AHH		airhold	
	AHI		aerochisa	
	AHJ		avycop	
	AHK		air hong kong	
	AHL		hidalgo	
	AHM		heli atlantis	
	AHN		air hainaut	
	AHO		air hamburg	
	AHP		aerochiapas	
	AHR		orange	
	AHT		heliapra	
	AHU		a_b_c hungary	
	AHW		sky capital	
	AHX		amakusa air	
	AHY		azal	
	AIA		air atlantis	
	AIB		airbus industrie	
	AIC		air india	
	AID		century airbirds	
	AIE		inuit	
	AIF		flymed	
	AIH		air incheon	
	AII		integra	
	AIJ		abc aerolineas	
	AIK		african airlines	
	AIL		air illinois	
	AIM		pijo	
	AIN		fly cargo	
	AIO		air chief	
	AIP		alpine air	
	AIQ		thai asia	
	AIR		airlift	
	AIS		sureste	
	AIT		air taurus	
	AIU		alia	
	AIV		airvias	
	AIW		tartan	
	AIX		cruiser	
	AIY		aircrew	
	AIZ		arkia	
	AJA		afghan jet	
	AJB		aero jbr	
	AJC		bar harbor	
	AJD		vista georgia	
	AJE		jet express	
	AJF		aviaconsult	
	AJH		aljarafe	
	AJJ		avjet	
	AJK		bambi	
	AJL		bird express	
	AJM		juliett mike	
	AJN		bajante	
	AJO		aeroexo	
	AJP		aerojets	
	AJQ		panajet	
	AJR		jet mongolia	
	AJS		aeroejecutivos	
	AJT		amerijet	
	AJU		airjetsul	
	AJV		lee jet	
	AJW		alphajet	
	AJX		air japan	
	AJY		ayjet	
	AJZ		anglo jet	
	AKA		interalas	
	AKB		karab	
	AKC		arca	
	AKD		alfa asia	
	AKE		air maken	
	AKF		african falcon	
	AKG		grifter	
